Id	Depth
1	1802
2	3658
3	3658
4	3658
5	2168
6	2168
7	1165.8
8	1165.8
9	426
10	426
11	1371.6
12	1371.6
13	1371.6
14	1371.6
15	1010.6
16	2770
17	2770
18	2770
19	2770
20	2770
21	2770
22	2037
23	2037
24	420
25	2025
26	1018
27	4072
28	3212
29	2520
30	2520
31	2520
32	1
33	2925
34	2200
35	2200
36	6
37	662
38	2200
39	2200
40	2200
41	2200
42	1171
43	2451
44	1915
45	1915
46	1915
47	1756
48	4575
49	4575
50	4575
51	4724
52	4724
53	4724
54	4724
55	4724
56	5133
57	5133
58	4701
59	4701
60	4701
61	4701
62	4701
63	4095
64	4095
65	4095
66	4095
67	4095
68	615
69	615
70	615
71	285
72	285
73	285
74	285
75	285
76	285
77	285
78	285
79	285
80	285
81	285
82	285
83	285
84	420
85	420
86	420
87	420
88	3376
89	3376
90	533
91	6050
92	6050
93	6050
94	6050
95	1400
96	19
97	19
98	19
99	19
100	19
