Core	Longitude	Latitude	Depth	RecentDate	OldestDate	Proxy	Species	Reference
12PC51	-23	0	3870	7.19	33.15	Planktonic foraminifera	Globigerinoides sacculifer	Sikes and keigwin, (1994)
2B	-109.22	10.3	13	-0.04	-0.02	Coral	Porites lobata	Linsley et al., 2000
A107-131	-38	-31	2925	4.24	301.8	Unknown	Unknown	Imbrie et al., 1992
A7	126.98	27.82	1264	1.37	18.19	Planktonic foraminifera	Globigerinoides ruber	Sun et al., 2005
AC85-4	11.77	41.75	662	4.8	21.6	Benthic foraminifera	Uvigerina peregrina	Vergnaud-grazzini and pierre, (1991)
AHF-11343	-119.86	32.8	1171	3.04	32.73	Planktonic foraminifera	Globigerina bulloides	Mortyn et al., 1996
AHF-16830	-118.42	31.47	2451	1.38	24.99	Planktonic foraminifera	Globigerina bulloides	Mortyn et al., 1996
AHF-16832	-118.12	31.87	1915	1.69	34.89	Planktonic foraminifera	Globigerina bulloides	Mortyn et al., 1996
AHF-16832	-118.12	31.87	1915	3.43	48.59	Benthic foraminifera	Cibicidoides mckannai	Stott et al., 2000
AHF-16832	-118.12	31.87	1915	3.43	48.59	Planktonic foraminifera	Globigerina bulloides	Stott et al., 2000
AHF-28181	-119.06	33.01	1756	3.85	29.08	Planktonic foraminifera	Globigerina bulloides	Mortyn et al., 1996
ALKOR_159_225514	8.71	57.84	420	-0.05	1.06	Benthic foraminifera	Bulimina marginata	Brackner and mackensen (2006)
ALKOR_159_225514	8.71	57.84	420	-0.05	1.06	Benthic foraminifera	Melonis barleeanus	Brackner and mackensen (2006)
ALKOR_159_225514	8.71	57.84	420	-0.05	1.06	Benthic foraminifera	Uvigerina mediterranea	Brackner and mackensen (2006)
AQ18	35.5	29.45	19	-0.04	0.16	Coral	Porites cf. lutea	Heiss 1994 ; Al-rousan et al., 2003
AQ-19	35.5	29.45	19	-0.04	0.06	Coral	Porites	Al-rousan et al., 2003
AQ-19-3	35.5	29.45	19	-0.05	-0.05	Coral	Porites cf. lutea	Al-rousan et al., 2003
AQ-19-4	35.5	29.45	19	-0.05	-0.05	Coral	Porites cf. lutea	Al-rousan et al., 2003
AQ-19A	35.5	29.45	19	-0.05	-0.04	Coral	Porites cf. lutea	Al-rousan et al., 2003
AQ-19C	35.5	29.45	19	-0.05	-0.04	Coral	Porites cf. lutea	Al-rousan et al., 2003
AQ2	34.97	29.46	18	-0.05	-0.04	Coral	Porites	Felis et al., 2004
AQ-29	35.5	29.45	29	-0.05	-0.05	Coral	Porites spp.	Al-rousan et al., 2003
AQ-42	35.5	29.45	42	-0.05	-0.05	Coral	Porites spp.	Al-rousan et al., 2003
AQ-7	35.5	29.45	7	-0.05	-0.05	Coral	Porites spp.	Al-rousan et al., 2003
ASV880	47.14	79.93	388	0	9.65	Benthic foraminifera	Elphidium clavatum	Gif
ASV880	47.14	79.93	388	0	9.88	Benthic foraminifera	Nonion labradoricum	Gif
ASV880	47.14	79.93	388	0	10.72	Planktonic foraminifera	Neogloboquadrina pachyderma left	Gif
B007-328PC	-21.55	65.96	94	0.1	1.6	Benthic foraminifera	Benthics	Axford et al., 2011. 
