Id	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	Material	DOI
1	64.216	23.588	1802	1.37	108.84	Ocean	Planktonic foraminifera	10.1038/31750
2	17.75	36.26	3658	0	19.97	Ocean	Planktonic foraminifera	10.1016/j.marmicro.2009.07.004
3	17.75	36.26	3658	0	19.97	Ocean	Planktonic foraminifera	10.1016/j.marmicro.2009.07.004
4	17.75	36.26	3658	0	19.97	Ocean	Planktonic foraminifera	10.1016/j.marmicro.2009.07.004
5	-14.70167	55.485	2168	111.08	135.11	Ocean	Benthic foraminifera	10.5194/cp-8-483-2012
6	-14.70167	55.485	2168	110.34	135.11	Ocean	Benthic foraminifera	10.5194/cp-8-483-2012
7	-119.981	32.833867	1165.8	0	187.24	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.167.205.2000
8	-119.981	32.833867	1165.8	0.98	187.24	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.167.205.2000
9	13.40025	-11.92077	426	0	22	Ocean	Benthic foraminifera	10.1029/2003PA000948
10	13.40025	-11.92077	426	0.02	21.98	Ocean	Benthic foraminifera	10.1029/2003PA000948
11	15.31088	-31.46466	1371.6	0	500	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.175.230.2001
12	15.31088	-31.46466	1371.6	0	500	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.175.230.2001
13	15.31088	-31.46466	1371.6	0	500	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.175.230.2001
14	15.31088	-31.46466	1371.6	0	500	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.175.230.2001
15	-64.208	-64.86193	1010.6	9.1	9.34	Ocean	Planktonic foraminifera	10.1038/nature09751
16	113.28517	9.36193	2770	17.44	4990.83	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.184.221.2004
17	113.28517	9.36193	2770	17.44	4990.83	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.184.221.2004
18	113.28517	9.36193	2770	0	5020.61	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.184.221.2004
19	113.28517	9.36193	2770	0	5020.61	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.184.221.2004
20	113.28517	9.36193	2770	3.6	5018.62	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.184.221.2004
21	113.28517	9.36193	2770	3.6	4512.17	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.184.221.2004
22	117.41905	20.053	2037	0.09	1974.7	Ocean	Planktonic foraminifera	urn:nbn:de:gbv:8-diss-5231
