Id	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	Material	DOI	Reference	Filename
1	64.216	23.588	1802.0	1.37	108.84	Ocean	Planktonic foraminifera	10.1038/31750	Schulz, H., van Rad, U., & Erlenkeuser, H. (1998). Correlation between Arabian Sea and Greenland climate oscillations of the past 110,000 years. Nature, 393, 54–57. doi:10.1038/31750	093kliso_SIMPL
2	17.75	36.26	3658.0	0.0	19.97	Ocean	Planktonic foraminifera	10.1016/j.marmicro.2009.07.004	Numberger, L., Hemleben, C., Hoffmann, R., Mackensen, A., Schulz, H., Wunderlich, J.-M., and Kucera, M.: Habitats, abundance patterns and isotopic signals of morphotypes of the planktonic foraminifer Globigerinoides ruber (d'Orbigny) in the eastern Mediterranean Sea since the Marine Isotopic Stage 12, Marine Micropaleontology, 73, 90-104, 10.1016/j.marmicro.2009.07.004, 2009.	160-964A_isotope_Holocene_SIMPL_ruber_type_A
3	17.75	36.26	3658.0	0.0	19.97	Ocean	Planktonic foraminifera	10.1016/j.marmicro.2009.07.004	Numberger, L., Hemleben, C., Hoffmann, R., Mackensen, A., Schulz, H., Wunderlich, J.-M., and Kucera, M.: Habitats, abundance patterns and isotopic signals of morphotypes of the planktonic foraminifer Globigerinoides ruber (d'Orbigny) in the eastern Mediterranean Sea since the Marine Isotopic Stage 12, Marine Micropaleontology, 73, 90-104, 10.1016/j.marmicro.2009.07.004, 2009.	160-964A_isotope_Holocene_SIMPL_ruber_type_B
4	17.75	36.26	3658.0	0.0	19.97	Ocean	Planktonic foraminifera	10.1016/j.marmicro.2009.07.004	Numberger, L., Hemleben, C., Hoffmann, R., Mackensen, A., Schulz, H., Wunderlich, J.-M., and Kucera, M.: Habitats, abundance patterns and isotopic signals of morphotypes of the planktonic foraminifer Globigerinoides ruber (d'Orbigny) in the eastern Mediterranean Sea since the Marine Isotopic Stage 12, Marine Micropaleontology, 73, 90-104, 10.1016/j.marmicro.2009.07.004, 2009.	160-964A_isotope_Holocene_SIMPL_ruber_type_C
5	-14.70167	55.485	2168.0	111.08	135.11	Ocean	Benthic foraminifera	10.5194/cp-8-483-2012	Govin, A., Braconnot, P., Capron, E., Cortijo, E., Duplessy, J. C., Jansen, E., Labeyrie, L., Landais, A., Marti, O., Michel, E., Mosquet, E., Risebrobakken, B., Swingedouw, D., and Waelbroeck, C.: Persistent influence of ice sheet melting on high northern latitude climate during the early Last Interglacial, Climate of the Past, 8, 483-507, 10.5194/cp-8-483-2012, 2012.	162-980_last_interglacia_cibs_SIMPL
6	-14.70167	55.485	2168.0	110.34	135.11	Ocean	Benthic foraminifera	10.5194/cp-8-483-2012	Govin, A., Braconnot, P., Capron, E., Cortijo, E., Duplessy, J. C., Jansen, E., Labeyrie, L., Landais, A., Marti, O., Michel, E., Mosquet, E., Risebrobakken, B., Swingedouw, D., and Waelbroeck, C.: Persistent influence of ice sheet melting on high northern latitude climate during the early Last Interglacial, Climate of the Past, 8, 483-507, 10.5194/cp-8-483-2012, 2012.	162-980_last_interglacia_pachy_SIMPL
7	-119.981	32.833867	1165.8	0.0	187.24	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.167.205.2000	Hendy, I. L., and Kennett, J. P.: Stable isotope stratigraphy and paleoceanography of the last 170 k.y.: Site 1014, Tanner Basin, California, 167, 10.2973/odp.proc.sr.167.205.2000, 2000.	167-1014_isotope_bullo_SIMPL
8	-119.981	32.833867	1165.8	0.98	187.24	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.167.205.2000	Hendy, I. L., and Kennett, J. P.: Stable isotope stratigraphy and paleoceanography of the last 170 k.y.: Site 1014, Tanner Basin, California, 167, 10.2973/odp.proc.sr.167.205.2000, 2000.	167-1014_isotope_UVI_SIMPL
9	13.40025	-11.92077	426.0	0.0	22.0	Ocean	Benthic foraminifera	10.1029/2003PA000948	Rühlemann, C., Mulitza, S., Lohmann, G., Paul, A., Prange, M., and Wefer, G.: Intermediate depth warming in the tropical Atlantic related to weakened thermohaline circulation: Combining paleoclimate data and modeling results for the last deglaciation, Paleoceanography, 19, n/a-n/a, 10.1029/2003pa000948, 2004.	175-1078C_d18O_res_SIMPL
10	13.40025	-11.92077	426.0	0.02	21.98	Ocean	Benthic foraminifera	10.1029/2003PA000948	Rühlemann, C., Mulitza, S., Lohmann, G., Paul, A., Prange, M., and Wefer, G.: Intermediate depth warming in the tropical Atlantic related to weakened thermohaline circulation: Combining paleoclimate data and modeling results for the last deglaciation, Paleoceanography, 19, n/a-n/a, 10.1029/2003pa000948, 2004.	175-1078C_d18O_SIMPL
11	15.31088	-31.46466	1371.6	0.0	500.0	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.175.230.2001	Pierre, C., Saliege, J. F., Urrutiaguer, M. J., and Giraudeau, J.: Stable isotope record of the last 500 k.y. at Site 1087 (Southern Cape Basin), 175, 10.2973/odp.proc.sr.175.230.2001, 2001.	175-1087A_d18O_d13C_SIMPL_bullo
12	15.31088	-31.46466	1371.6	0.0	500.0	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.175.230.2001	Pierre, C., Saliege, J. F., Urrutiaguer, M. J., and Giraudeau, J.: Stable isotope record of the last 500 k.y. at Site 1087 (Southern Cape Basin), 175, 10.2973/odp.proc.sr.175.230.2001, 2001.	175-1087A_d18O_d13C_SIMPL_inflata
13	15.31088	-31.46466	1371.6	0.0	500.0	Ocean	Planktonic foraminifera	10.2973/odp.proc.sr.175.230.2001	Pierre, C., Saliege, J. F., Urrutiaguer, M. J., and Giraudeau, J.: Stable isotope record of the last 500 k.y. at Site 1087 (Southern Cape Basin), 175, 10.2973/odp.proc.sr.175.230.2001, 2001.	175-1087A_d18O_d13C_SIMPL_ruber
14	15.31088	-31.46466	1371.6	0.0	500.0	Ocean	Benthic foraminifera	10.2973/odp.proc.sr.175.230.2001	Pierre, C., Saliege, J. F., Urrutiaguer, M. J., and Giraudeau, J.: Stable isotope record of the last 500 k.y. at Site 1087 (Southern Cape Basin), 175, 10.2973/odp.proc.sr.175.230.2001, 2001.	175-1087A_d18O_d13C_SIMPL_Wue
15	-64.208	-64.86193	1010.6	9.1	9.34	Ocean	Planktonic foraminifera	10.1038/nature09751	Shevenell, A. E., Ingalls, A. E., Domack, E. W., and Kelly, C.: Holocene Southern Ocean surface temperature variability west of the Antarctic Peninsula, Nature, 470, 250-254, 10.1038/nature09751, 2011.	178-1098B_D18O_SIMPL
